time,idStation,meteo_data.mean_latitude,meteo_data.mean_longitude,meteo_data.mean_temperature
2020-04-11T12:00:00.000Z,10144,42.931999999999995,-8.17469,13.706666666666669
2020-04-11T12:00:00.000Z,10146,43.1559,-7.485879999999999,16.13
2020-04-11T12:00:00.000Z,10148,42.3435,-7.84885,19.12
2020-04-11T12:00:00.000Z,10153,43.1081,-9.05694,11.773333333333333
2020-04-11T12:00:00.000Z,10154,42.3207,-8.60187,15.883333333333333
2020-04-11T12:00:00.000Z,10155,42.353,-7.8779,18.466666666666665
2020-04-11T12:00:00.000Z,10156,42.4259,-8.644,18.416666666666668
2020-04-11T12:00:00.000Z,10157,43.38276,-8.409203,15.049999999999999
2020-04-11T12:00:00.000Z,10158,42.6563,-8.10716,12.616666666666667
2020-04-11T12:00:00.000Z,10161,42.1699,-8.68605,11.603333333333333
2020-04-11T12:00:00.000Z,10162,43.6309,-7.63088,17.486666666666665
2020-04-11T12:00:00.000Z,10163,42.610943,-8.370902,11.513333333333335
2020-04-11T12:00:00.000Z,10164,43.351746,-7.265624,16.46666666666667
2020-04-11T12:00:00.000Z,10165,42.145298,-8.611879,16.613333333333333
2020-04-11T12:00:00.000Z,10166,42.24651,-8.454064,15.54
2020-04-11T12:00:00.000Z,10167,43.544186,-7.4519139999999995,16.703333333333333
2020-04-11T12:00:00.000Z,10168,43.24025,-7.555114,15.4
2020-04-11T12:00:00.000Z,10169,42.1155,-8.83718,15.486666666666666
2020-04-11T12:00:00.000Z,10170,42.81671500000001,-7.750346,12.916666666666666
2020-04-11T12:00:00.000Z,10171,42.513786,-7.523139,17.30333333333333
2020-04-11T12:00:00.000Z,10172,42.133602,-8.412951,11.243333333333332
2020-04-11T12:00:00.000Z,10201,42.7123,-7.12567,12.13
2020-04-11T12:00:00.000Z,10202,42.669999999999995,-7.88797,11.333333333333334
2020-04-11T12:00:00.000Z,10500,41.953,-7.43918,17.53
2020-04-11T12:00:00.000Z,10800,43.1244,-9.17832,14.403333333333334
2020-04-11T12:00:00.000Z,10905,42.3396,-8.8338,15.92
2020-04-11T12:00:00.000Z,10906,42.2604,-8.78258,15.200000000000001
2020-04-11T12:00:00.000Z,14000,43.365100000000005,-8.37471,13.65
2020-04-11T12:00:00.000Z,14003,43.34720000000001,-8.53118,14.506666666666666
2020-04-11T12:00:00.000Z,14010,43.36339999999999,-8.44186,15.843333333333334
